STUDID,Sexe,Cycle,Grade,Programme,Premier_Trim,Dernier_Trim,Nb_trim_complete,Moyenne,ANNEE
10110293,M,1,Certificat,Mécanique du bâtiment,20071,20121,7,3.80,2011/12
10110293,M,1,Certificat,Électricité du bâtiment,20113,20143,7,3.70,2014/15
10110363,M,3,Doctorat,Génie métallurgique,20051,20122,23,4.00,2011/12
10110431,M,3,Doctorat,Génie chimique,20001,20112,23,4.00,2010/11
10024610,M,3,Doctorat,Génie informatique,20071,20133,21,3.88,2013/14
10111537,M,2,Maitrise recherche,Génie industriel,20072,20103,12,3.70,2010/11
10024726,M,1,Bac,Génie chimique,20082,20151,14,2.59,2014/15
10024772,M,1,Certificat,Technologies biomédicales - instr. électronique,20113,20122,3,3.10,2011/12
10111743,M,1,Certificat,Automatisation Industrielle,20151,20163,7,4.00,2016/17
10111981,M,3,Doctorat,Génie informatique,20101,20163,21,4.00,2016/17
10025542,M,2,Maitrise professionn,Génie industriel,20123,20143,6,3.53,2014/15
10025690,M,3,Doctorat,Génie biomédical,20063,20113,16,4.00,2011/12
10112611,F,3,Doctorat,Génie chimique,20073,20113,13,4.00,2011/12
10113073,M,1,Certificat,Mécanique du bâtiment,20103,20121,4,2.95,2011/12
10113505,M,2,Maitrise professionn,Génie chimique,20113,20121,2,3.90,2011/12
10026744,M,3,Doctorat,Génie physique,20062,20131,21,4.00,2012/13
10113671,M,3,Doctorat,Génie électrique,20071,20123,18,4.00,2012/13
10113685,M,1,Certificat,Mécanique du bâtiment,20083,20113,7,4.00,2011/12
10026786,M,1,Bac,Génie chimique (coopératif),20053,20111,11,3.02,2010/11
10027132,F,2,Maitrise professionn,Génie industriel,20123,20143,6,3.87,2014/15
10027162,M,3,Doctorat,Génie électrique,20043,20111,20,4.00,2010/11
10114155,M,2,Maitrise professionn,Génie industriel,20053,20103,8,3.61,2010/11
10114391,M,2,Maitrise professionn,Génie chimique,20093,20103,4,3.80,2010/11
10114649,M,1,Certificat,Cyberenquête,20141,20163,6,3.90,2016/17
10027798,M,3,Doctorat,Génie informatique,20101,20171,22,3.82,2016/17
10028096,M,1,Certificat,Design et fabrication,20083,20123,9,3.85,2012/13
10115889,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20141,20191,10,3.45,2018/19
10117307,M,1,Certificat,Cyberenquête,20083,20121,6,2.75,2011/12
10117307,M,1,Certificat,Cyberfraude,20113,20141,6,2.95,2013/14
10030410,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20083,20123,9,3.30,2012/13
10117975,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20091,20131,9,2.89,2012/13
10031056,M,1,Certificat,Commande de procédés industriels,19963,20161,7,3.05,2015/16
10031056,M,1,Certificat,Bâtiment durable,20141,20162,9,3.23,2015/16
10118025,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20091,20131,10,3.25,2012/13
10118071,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20091,20131,10,3.55,2012/13
10118137,F,1,Certificat,Électricité du bâtiment,20093,20131,7,2.25,2012/13
10031420,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20081,20121,10,3.15,2011/12
10031620,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20081,20113,9,3.38,2011/12
10031844,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20081,20121,10,3.50,2011/12
10118775,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20143,20193,9,3.70,2019/20
10118871,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20081,20123,8,3.00,2012/13
10032028,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20131,20181,10,3.65,2017/18
10032242,F,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20091,20133,10,3.75,2013/14
10032488,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20091,20131,10,3.30,2012/13
10032580,M,1,Certificat,Techn. avancées en prévention des incendies,20143,20191,9,2.30,2018/19
10032646,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20103,20123,5,2.20,2012/13
10032662,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20103,20123,5,3.35,2012/13
10032696,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20121,20151,7,2.45,2014/15
10032908,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20133,20181,10,3.55,2017/18
10120089,M,2,Maitrise professionn,Génie informatique,20101,20141,9,3.37,2013/14
10120315,M,2,Maitrise professionn,Génie biomédical,20133,20142,6,3.50,2013/14
10033546,M,3,Doctorat,Génie métallurgique,20093,20133,13,3.57,2013/14
10033568,M,2,Maitrise professionn,Génie industriel,20063,20121,9,3.87,2011/12
10120639,M,3,Doctorat,Génie industriel,20111,20173,21,3.60,2017/18
10033798,F,1,Certificat,Mécanique du bâtiment,20121,20151,6,3.94,2014/15
10035110,F,1,Certificat,Cybersécurité des réseaux informatiques,20141,20201,11,3.75,2019/20
10035326,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20113,20141,7,3.10,2013/14
10035400,F,1,Certificat,Techn. avancées en prévention des incendies,19963,20153,10,3.35,2015/16
10122713,M,2,Maitrise recherche,Génie chimique,20092,20112,8,3.31,2010/11
10122917,M,2,Maitrise recherche,Génie mécanique,20171,20183,7,4.00,2018/19
10036092,M,1,Certificat,Bâtiment durable,20103,20131,6,2.35,2012/13
10036246,M,1,Certificat,Mécanique du bâtiment,20151,20191,8,3.55,2018/19
10036488,F,1,Certificat,Mécanique du bâtiment,20181,20201,5,3.83,2019/20
10123445,M,3,Doctorat,Génie physique,20041,20103,21,4.00,2010/11
10124329,M,3,Doctorat,Génie industriel,20081,20143,18,3.25,2014/15
10124361,M,2,Maitrise recherche,Génie civil,20102,20113,6,4.00,2011/12
10124483,F,2,Maitrise recherche,Génie mécanique,20083,20111,9,3.53,2010/11
10037736,M,2,Maitrise professionn,Génie industriel,20103,20143,8,3.33,2014/15
10124681,M,2,Maitrise professionn,Génie électrique,20041,20113,7,3.82,2011/12
10125513,M,1,Certificat,Techn. avancées en prévention des incendies,20113,20163,10,3.35,2016/17
10038702,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20133,20181,10,3.10,2017/18
10125629,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20111,20163,11,3.30,2016/17
10039248,F,3,Doctorat,Génie métallurgique,20072,20111,12,3.50,2010/11
10126285,M,3,Doctorat,Génie industriel,20093,20123,10,4.00,2012/13
10126395,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20081,20123,9,2.65,2012/13
10039536,M,3,Doctorat,Génie mécanique,20083,20111,8,3.02,2010/11
10039604,M,1,Certificat,Techn. avancées en prévention des incendies,20043,20123,10,3.05,2012/13
10126539,M,1,Certificat,Cyberfraude,20171,20181,7,2.25,2017/18
10126539,M,1,Certificat,Cyberenquête,20131,20181,10,2.39,2017/18
10126539,M,1,Certificat,Cybersécurité des réseaux informatiques,20163,20163,6,2.45,2016/17
10126859,M,2,Maitrise professionn,Génie industriel,20133,20161,7,3.90,2015/16
10126903,M,3,Doctorat,Génie métallurgique,20061,20111,16,4.00,2010/11
10040124,M,2,Maitrise professionn,Génie industriel,20093,20111,4,3.97,2010/11
10127165,M,3,Doctorat,Génie industriel,20093,20162,21,3.67,2015/16
10127269,F,3,Doctorat,Génie biomédical,20063,20122,17,4.00,2011/12
10127301,F,3,Doctorat,Génie biomédical,20102,20171,21,4.00,2016/17
10040388,M,1,Bac,Génie géologique (coopératif),20073,20113,9,2.81,2011/12
10127399,M,2,Maitrise recherche,Génie biomédical,20023,20111,12,3.65,2010/11
10127461,F,1,Certificat,Électricité du bâtiment,20071,20121,8,3.67,2011/12
10127475,M,3,Doctorat,Génie industriel,20053,20103,15,4.00,2010/11
10127479,M,1,Bac,Génie civil,19983,20113,9,3.94,2011/12
10040592,M,1,Certificat,Mécanique du bâtiment,20101,20141,8,2.50,2013/14
10040666,F,2,Maitrise professionn,Génie industriel,20151,20162,6,3.70,2015/16
10040748,M,3,Doctorat,Génie électrique,20063,20121,17,4.00,2011/12
10127683,M,1,Certificat,Électricité du bâtiment,20121,20141,5,3.33,2013/14
10040828,M,1,Bac,Génie chimique,20012,20103,11,2.91,2010/11
10040958,F,3,Doctorat,Génie informatique,20131,20182,14,3.88,2017/18
10041086,M,3,Doctorat,Génie physique,20061,20112,17,4.00,2010/11
10041122,M,1,Certificat,Mécanique du bâtiment,20111,20141,7,3.95,2013/14
10128337,M,3,Doctorat,Génie métallurgique,20083,20152,21,3.80,2014/15
10128711,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20081,20113,8,3.45,2011/12
10128735,M,1,Certificat,Design et fabrication,20121,20142,6,2.20,2013/14
10128751,M,1,Certificat,Cyberenquête,20093,20141,8,3.40,2013/14
10041872,M,1,Certificat,Commande de procédés industriels,20033,20113,13,2.75,2011/12
10128861,M,3,Doctorat,Génie civil,20063,20133,22,4.00,2013/14
10128963,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20091,20131,10,3.50,2012/13
10128997,M,1,Certificat,Technologies biomédicales - instr. électronique,20043,20103,12,2.90,2010/11
10042092,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20081,20133,11,2.90,2013/14
10042130,M,3,Doctorat,Génie minéral,20043,20181,22,4.00,2017/18
10042200,M,2,Maitrise professionn,Génie biomédical,20143,20192,10,3.78,2018/19
10129171,M,1,Certificat,Design et fabrication,20073,20121,10,3.90,2011/12
10042386,F,1,Bac,Génie civil,20143,20181,8,3.33,2017/18
10042576,M,3,Doctorat,Génie biomédical,20093,20162,21,3.63,2015/16
10042624,M,1,Certificat,Électricité du bâtiment,20131,20163,8,3.80,2016/17
10129549,M,3,Doctorat,Génie informatique,20053,20122,18,3.94,2011/12
10042662,M,1,Bac,Génie chimique,20043,20111,5,3.47,2010/11
10042758,M,1,Certificat,Mécanique du bâtiment,20061,20103,6,2.00,2010/11
10129755,M,1,Certificat,Mécanique du bâtiment,20131,20153,6,3.70,2015/16
10042944,M,2,Maitrise professionn,Génie industriel,20092,20113,8,3.33,2011/12
10130003,M,1,Bac,Génie des mines (coopératif),20121,20142,5,3.39,2013/14
10043110,M,3,Doctorat,Génie informatique,20073,20112,12,3.94,2010/11
10043174,M,3,Doctorat,Génie physique,20062,20122,19,3.79,2011/12
10043356,F,2,Maitrise professionn,Génie électrique,20103,20113,4,3.83,2011/12
10043402,M,2,Maitrise professionn,Génie informatique,20181,20191,4,3.33,2018/19
10043434,M,3,Doctorat,Mathématiques,20072,20131,18,3.75,2012/13
10043466,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20133,20181,10,3.55,2017/18
10130429,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20153,20181,10,3.65,2017/18
10130515,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20133,20181,10,3.35,2017/18
10043788,M,1,Bac,Génie informatique,20031,20122,10,2.26,2011/12
10130727,F,1,Bac,Génie chimique,20073,20111,8,3.75,2010/11
10130775,F,2,Maitrise professionn,Génie industriel,20072,20103,4,3.23,2010/11
10043932,M,3,Doctorat,Génie informatique,20091,20133,15,4.00,2013/14
10130965,M,3,Doctorat,Génie chimique,20073,20122,15,0.00,2011/12
10131021,M,3,Doctorat,Génie physique,20063,20113,16,3.81,2011/12
10044190,M,1,Certificat,Mécanique du bâtiment,20113,20141,5,3.85,2013/14
10131167,M,3,Doctorat,Génie biomédical,20081,20112,11,3.83,2010/11
10044452,M,1,Certificat,Cybersécurité des réseaux informatiques,20133,20161,6,3.56,2015/16
10131445,M,1,Certificat,Cybersécurité des réseaux informatiques,20173,20183,2,3.45,2018/19
10131451,M,2,Maitrise recherche,Génie mécanique,20163,20183,5,4.00,2018/19
10131501,M,1,Certificat,Aéronautique,20091,20113,3,3.75,2011/12
10131511,M,3,Doctorat,Génie physique,20062,20103,14,3.50,2010/11
10044616,M,1,Bac,Génie électrique,19992,20151,13,2.09,2014/15
10044690,F,2,Maitrise recherche,Génie industriel,20161,20173,7,3.69,2017/18
10044852,M,1,Certificat,Cybersécurité des réseaux informatiques,20163,20181,3,3.50,2017/18
10131873,M,3,Doctorat,Génie industriel,20062,20132,22,3.43,2012/13
10131881,M,3,Doctorat,Génie électrique,20043,20103,19,4.00,2010/11
10131951,M,2,Maitrise recherche,Génie électrique,20152,20172,5,3.82,2016/17
10132165,M,3,Doctorat,Génie chimique,20052,20113,20,4.00,2011/12
10045272,M,3,Doctorat,Génie électrique,20043,20112,21,3.83,2010/11
10045332,M,3,Doctorat,Génie électrique,20063,20132,21,4.00,2012/13
10132425,M,3,Doctorat,Génie industriel,20033,20103,21,3.55,2010/11
10045658,F,2,Maitrise professionn,Génie industriel,20092,20113,4,3.90,2011/12
10132715,M,2,Maitrise professionn,Génie minéral,20173,20193,6,3.57,2019/20
10132843,M,3,Doctorat,Mathématiques,20041,20113,20,3.90,2011/12
10045960,M,2,Maitrise professionn,Génie industriel,20091,20133,10,3.70,2013/14
10133049,F,1,Certificat,Mécanique du bâtiment,20073,20171,7,3.95,2016/17
10133089,M,3,Doctorat,Génie physique,20071,20122,17,4.00,2011/12
10133191,M,1,Bac,Génie chimique,20063,20121,11,2.28,2011/12
10046286,F,3,Doctorat,Génie physique,20063,20113,16,3.91,2011/12
10133249,M,3,Doctorat,Génie physique,20053,20122,21,4.00,2011/12
10046380,M,1,Bac,Génie civil,20113,20141,6,3.90,2013/14
10133349,F,1,Certificat,Mécanique du bâtiment,20093,20133,7,3.94,2013/14
10046468,M,1,Certificat,Cybersécurité des réseaux informatiques,20131,20143,4,2.72,2014/15
10046504,M,1,Certificat,Cybersécurité des réseaux informatiques,20133,20161,6,2.65,2015/16
10046644,F,2,Maitrise professionn,Génie industriel,20133,20142,4,3.93,2013/14
10133719,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20091,20131,10,2.90,2012/13
10133795,M,2,Maitrise recherche,Génie électrique,20092,20112,7,3.97,2010/11
10133897,M,1,Certificat,Mécanique du bâtiment,20131,20143,4,2.50,2014/15
10047052,M,3,Doctorat,Génie chimique,20052,20121,21,3.81,2011/12
10047064,M,3,Doctorat,Génie métallurgique,20071,20122,17,4.00,2011/12
10134109,M,3,Doctorat,Génie mécanique,20053,20122,21,4.00,2011/12
10134161,M,1,Certificat,Électricité du bâtiment,20073,20111,7,3.38,2010/11
10047282,M,3,Doctorat,Génie informatique,20092,20153,20,4.00,2015/16
10047316,M,3,Doctorat,Génie civil,20081,20122,14,4.00,2011/12
10047328,M,2,Maitrise professionn,Génie mécanique,20111,20123,5,3.62,2012/13
10134249,M,3,Doctorat,Génie biomédical,20062,20122,19,3.90,2011/12
10134443,M,2,Maitrise recherche,Génie chimique,20101,20133,11,3.27,2013/14
10047570,M,3,Doctorat,Génie biomédical,20101,20153,18,3.77,2015/16
10134517,M,1,Certificat,Technologies biomédicales - instr. électronique,20093,20123,10,3.70,2012/13
10047664,M,3,Doctorat,Génie informatique,20063,20132,21,4.00,2012/13
10134837,M,3,Doctorat,Génie informatique,20113,20181,20,3.85,2017/18
10047938,M,1,Certificat,Électricité du bâtiment,20113,20161,10,3.75,2015/16
10048326,M,3,Doctorat,Mathématiques,20073,20111,11,3.60,2010/11
10048358,M,3,Doctorat,Génie biomédical,20111,20163,18,4.00,2016/17
10135321,M,3,Doctorat,Génie physique,20072,20141,21,3.90,2013/14
10135343,M,3,Doctorat,Génie chimique,20071,20122,17,3.71,2011/12
10135449,M,1,Certificat,Cyberenquête,20183,20191,2,4.00,2018/19
10135449,M,1,Certificat,Cybersécurité des réseaux informatiques,20163,20191,5,3.82,2018/19
10048584,F,2,Maitrise recherche,Génie industriel,20093,20103,4,4.00,2010/11
10048684,M,3,Doctorat,Génie industriel,20081,20143,20,3.50,2014/15
10135753,M,3,Doctorat,Génie biomédical,20133,20193,11,3.36,2019/20
10048980,M,1,Bac,Génie mécanique,20151,20193,8,2.82,2019/20
10135937,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20133,20181,10,3.80,2017/18
10136015,M,2,Maitrise professionn,Génie industriel,20073,20123,9,3.27,2012/13
10049234,M,3,Doctorat,Génie informatique,20051,20103,22,3.45,2010/11
10136223,M,2,Maitrise professionn,Génie mécanique,20111,20132,8,3.42,2012/13
10049406,M,3,Doctorat,Génie mécanique,20123,20171,14,3.85,2016/17
10136361,F,2,Maitrise professionn,Génie chimique,20161,20161,1,3.17,2015/16
10049520,M,2,Maitrise professionn,Génie industriel,20083,20141,11,3.04,2013/14
10049614,M,2,Maitrise recherche,Mathématiques appliquées,20151,20163,6,3.60,2016/17
10049656,M,2,Maitrise professionn,Génie informatique,20163,20171,2,3.23,2016/17
10049656,M,1,Certificat,Cybersécurité des réseaux informatiques,20173,20183,2,3.70,2018/19
10049682,M,2,Maitrise professionn,Génie informatique,20152,20163,4,3.80,2016/17
10136633,M,3,Doctorat,Génie électrique,20072,20132,19,3.75,2012/13
10049740,M,1,Bac,Génie géologique (coopératif),20011,20111,10,2.37,2010/11
10049766,M,1,Certificat,Mécanique du bâtiment,20081,20113,6,2.15,2011/12
10136847,F,2,Maitrise professionn,Génie industriel,20131,20141,5,3.73,2013/14
10049992,M,2,Maitrise professionn,Génie industriel,20093,20111,5,3.40,2010/11
10136959,M,1,Certificat,Mécanique du bâtiment,20093,20111,4,1.90,2010/11
10136987,M,1,Bac,Génie logiciel,20021,20123,11,3.11,2012/13
10050184,M,1,Bac,Génie physique,20011,20103,13,2.30,2010/11
10050244,M,1,Bac,Génie informatique,20043,20123,9,3.06,2012/13
10050244,M,2,Maitrise recherche,Génie informatique,20133,20153,8,3.25,2015/16
10050286,F,3,Doctorat,Génie industriel,20113,20191,20,3.90,2018/19
10050316,M,1,Certificat,Bâtiment durable,20142,20183,10,3.00,2018/19
10050316,M,1,Certificat,Mécanique du bâtiment,20011,20111,9,2.30,2010/11
10137243,M,3,Doctorat,Génie civil,20071,20133,18,4.00,2013/14
10137493,M,1,Certificat,Aéronautique,20143,20171,6,3.60,2016/17
10137503,M,2,Maitrise recherche,Génie civil,20102,20123,9,3.06,2012/13
10050632,F,2,Maitrise professionn,Génie industriel,20071,20111,6,3.50,2010/11
10137609,M,1,Certificat,Cybersécurité des réseaux informatiques,20153,20193,8,2.45,2019/20
10050712,M,3,Doctorat,Génie électrique,20053,20111,17,3.93,2010/11
10050796,M,1,Bac,Génie physique,20083,20121,8,2.49,2011/12
10050812,M,2,Maitrise professionn,Génie industriel,20162,20173,4,3.43,2017/18
10050844,M,2,Maitrise recherche,Génie mécanique,20083,20103,7,4.00,2010/11
10050882,M,1,Certificat,Électricité du bâtiment,20113,20123,3,3.80,2012/13
10137837,M,3,Doctorat,Génie électrique,20091,20132,14,3.57,2012/13
10050986,M,3,Doctorat,Génie chimique,20103,20161,15,4.00,2015/16
10137917,M,1,Bac,Génie mécanique,20013,20113,12,2.48,2011/12
10051010,M,3,Doctorat,Génie électrique,20102,20171,21,0.00,2016/17
10137959,M,2,Maitrise recherche,Génie civil,20123,20142,6,3.80,2013/14
10051136,M,3,Doctorat,Génie chimique,20062,20131,21,4.00,2012/13
10138071,M,3,Doctorat,Génie physique,20073,20123,16,4.00,2012/13
10051164,M,2,Maitrise professionn,Génie industriel,20053,20103,11,3.37,2010/11
10138105,M,3,Doctorat,Génie électrique,20101,20161,19,4.00,2015/16
10138197,F,3,Doctorat,Génie minéral,20072,20123,17,3.50,2012/13
10051292,M,3,Doctorat,Génie physique,20073,20103,10,4.00,2010/11
10138317,M,1,Certificat,Mécanique du bâtiment,20121,20153,8,3.60,2015/16
10051532,M,2,Maitrise recherche,Génie électrique,20103,20121,5,4.00,2011/12
10051536,M,2,Maitrise recherche,Génie mécanique,20082,20121,12,4.00,2011/12
10051614,M,3,Doctorat,Génie physique,20071,20122,17,4.00,2011/12
10051704,F,2,Maitrise professionn,Génie civil,20103,20151,9,3.87,2014/15
10051706,M,3,Doctorat,Génie informatique,20063,20112,15,3.63,2010/11
10051772,M,1,Bac,Génie chimique,20101,20141,9,3.72,2013/14
10051824,F,3,Doctorat,Génie mécanique,20101,20162,20,4.00,2015/16
10051828,F,3,Doctorat,Génie chimique,20092,20133,14,3.74,2013/14
10051878,F,3,Doctorat,Génie chimique,20081,20143,18,3.73,2014/15
10138907,M,2,Maitrise professionn,Génie chimique,20122,20122,1,3.70,2011/12
10052024,M,3,Doctorat,Mathématiques,20073,20142,21,4.00,2013/14
10139025,F,2,Maitrise recherche,Génie industriel,20083,20112,9,3.91,2010/11
10139121,F,3,Doctorat,Génie industriel,20043,20113,22,4.00,2011/12
10139175,M,3,Doctorat,Génie nucléaire,20083,20152,21,3.38,2014/15
10139237,M,2,Maitrise professionn,Génie civil,20121,20143,6,3.40,2014/15
10052584,M,2,Maitrise professionn,Génie minéral,20141,20141,1,3.84,2013/14
10052748,M,1,Certificat,Mécanique du bâtiment,20123,20161,7,2.85,2015/16
10052758,M,3,Doctorat,Génie physique,20092,20151,18,4.00,2014/15
10139823,M,3,Doctorat,Mathématiques,20131,20183,18,3.38,2018/19
10053028,M,2,Maitrise professionn,Génie industriel,20102,20151,7,3.13,2014/15
10140063,M,2,Maitrise professionn,Génie industriel,20101,20113,6,3.80,2011/12
10053162,M,1,Certificat,Technologies du bâtiment,20033,20111,9,3.60,2010/11
10140135,M,3,Doctorat,Génie chimique,20093,20133,13,3.79,2013/14
10140207,M,2,Maitrise professionn,Génie industriel,20153,20173,6,3.67,2017/18
10053340,M,1,Bac,Génie informatique,20013,20113,12,1.88,2011/12
10053362,M,1,Certificat,Cyberfraude,20111,20153,10,3.80,2015/16
10053400,M,1,Bac,Génie civil,20071,20111,9,3.57,2010/11
10053414,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20072,20143,10,3.05,2014/15
10053432,M,1,Certificat,Perfect. en ing. des dipl. en génie de l'étranger,20082,20111,8,2.14,2010/11
10140433,M,2,Maitrise recherche,Génie électrique,20103,20133,10,3.71,2013/14
10053564,M,3,Doctorat,Génie électrique,20062,20133,23,3.09,2013/14
10053572,F,3,Doctorat,Génie chimique,20072,20112,13,3.87,2010/11
10053580,M,1,Bac,Génie civil,20091,20141,10,1.94,2013/14
10140563,M,1,Certificat,Aéronautique avancée,20071,20103,9,3.05,2010/11
10140573,M,1,Certificat,Gestion des op. d'urgence en sécurité incendie,20093,20151,10,3.20,2014/15
10140585,M,3,Doctorat,Génie biomédical,20102,20172,21,3.93,2016/17
10140689,M,1,Certificat,Mécanique du bâtiment,20153,20171,4,2.78,2016/17
10053772,M,3,Doctorat,Génie informatique,20061,20131,21,3.29,2012/13
10053832,M,3,Doctorat,Génie électrique,20101,20163,21,4.00,2016/17
10053870,M,1,Certificat,Aéronautique,20103,20191,10,3.80,2018/19
10140837,F,1,Bac,Génie mécanique,20033,20111,13,1.98,2010/11
10140843,M,3,Doctorat,Génie mécanique,20083,20122,12,3.14,2011/12
10053934,M,2,Maitrise recherche,Génie électrique,20111,20141,10,4.00,2013/14
10053996,M,3,Doctorat,Génie électrique,20101,20153,18,4.00,2015/16
10054054,M,1,Bac,Génie informatique,20033,20151,11,1.98,2014/15
10054076,M,3,Doctorat,Génie physique,20093,20152,18,3.50,2014/15
10141039,M,1,Certificat,Aéronautique,20101,20121,5,3.05,2011/12
